Country,Lat,Lon,Pop_2010,Pop_2015,Pop_2020,Pop_2025,Pop_2030,Pop_2035,Pop_2040,Pop_2045,Pop_2050,Pop_2055,Pop_2060
China,35.86166,104.195397,1336680939,1367485388,1394015977,1408112997,1408227408,1397564647,1380062271,1357795077,1329570095,1293630106,1250958667
India,20.593684,78.96288,1173151870,1251839298,1325349639,1393557984,1456093286,1510935664,1556475013,1593580010,1623588384,1645908279,1660506849
United States,37.09024,-95.712891,309321666,320635163,332639102,344234377,355100730,364862145,373527973,381390297,388922201,396557404,404483055
Indonesia,-0.789275,113.921327,246256766,260617061,272856400,283587097,293084824,301603148,308923886,314615052,318393046,320309273,320660487
Brazil,-14.235004,-51.92528,196014513,204493569,212041332,218770689,224738130,229620809,233091770,235167072,236030311,235870048,234771011
Pakistan,30.375321,69.345116,188341201,210462259,233431156,257047044,280266050,303043639,325197856,346445113,366569839,385628839,403522132
Nigeria,9.081999,8.675277,165890754,188830820,213986428,242794751,275155380,310623710,348390982,387782040,428438012,470861435,515386289
Bangladesh,23.684994,90.356331,146553896,154500279,162532538,170183916,177171302,183161334,187970717,191663230,194343726,196009463,196569652
Russia,61.52401,105.318756,143493100,143343305,142588206,141008099,139142980,137323001,135676131,133880610,131733062,129332623,126898188
Japan,36.204824,138.252924,127645939,126656703,125135727,122664433,119732022,116494761,113086546,109615226,106156887,102683541,99081689
Mexico,23.634501,-102.552784,114061440,121749196,128840997,135469930,141490000,146766153,151195144,154681150,157139913,158707868,159533228
Philippines,12.879721,121.774017,93136140,100992607,109168180,117483500,125888017,134229598,142378002,150237852,157726578,164812451,171434510
Vietnam,14.058324,108.277199,90458607,96197851,101745119,106688169,110900897,114434819,117338534,119568023,121027926,121748314,121833805
Ethiopia,9.145,40.489673,82065947,94621003,108108470,122130956,136593170,151372229,166333560,181277414,195982344,210492059,224813883
Germany,51.165691,10.451526,81638328,80806711,80069820,79214926,78280827,77266405,76174730,75009851,73785643,72531344,71336769
Egypt,26.820553,30.802498,81238995,92296133,104112503,115491730,126267002,136897648,147774447,158839657,169688822,179936124,189457564
Iran,32.427908,53.688046,75034503,79939283,84982541,89145704,92447770,95163155,97539495,99549531,100972304,101610551,101418157
Turkey,38.963745,35.243322,74647083,79368631,82009212,84625585,86892512,88693414,89951885,90615273,90656580,90121878,89098451
Congo DRC,-4.038333,21.758664,72742117,86458286,101768560,119038825,138707855,160911174,185489254,212193547,240710111,271193858,303887875
Thailand,15.870032,100.992541,66271488,68067372,69291926,70025248,70280684,70086586,69428181,68308383,66768316,64901811,62828177
