Country,Lat,Lon,Pop_2020,Pop_2025,Pop_2030,Pop_2035,Pop_2040,Pop_2045,Pop_2050,Pop_2055,Pop_2060
Afghanistan,33.93911,67.709953,36594776,41014912,45502800,49971066,54403080,58812822,63197340,67577016,71937932
Albania,41.153332,20.168331,3080930,3111630,3116046,3088040,3034478,2967267,2894358,2816714,2731175
Algeria,28.033886,1.659626,42952039,45851248,48244797,50313187,52324677,54338351,56117140,57467008,58348042
American Samoa,-14.270972,-170.132217,47392,43268,40465,37849,35465,33300,31305,29456,27753
Andorra,42.546245,1.601554,85722,85266,84694,83961,82745,80790,78031,74626,70878
Angola,-11.202692,17.873887,32521837,38462677,45368533,53282768,62132777,71766569,82021832,92754338,103836310
Anguilla,18.220554,-63.068615,18066,19753,21425,23061,24636,26132,27546,28881,30154
Antigua and Barbuda,17.060816,-61.796428,98012,103769,109213,114077,118234,121744,124705,127251,129488
Argentina,-38.416097,-63.616672,45479650,47363817,49141744,50803301,52338598,53731198,54950409,55975733,56794892
Armenia,40.069099,45.038189,3021483,2963837,2892342,2813532,2726880,2629539,2521147,2405068,2284720
Aruba,12.52111,-69.968338,119496,126402,132753,138571,143940,148961,153739,158367,162914
Australia,-25.274398,133.775136,25467706,27062848,28467091,29791638,31042695,32236019,33374282,34463825,35510244
Austria,47.516231,14.550072,8856348,8994273,9110865,9202329,9275403,9335849,9383858,9415061,9431988
Azerbaijan,40.143105,47.576927,10207465,10545208,10814481,11031759,11201444,11314678,11361504,11345036,11277764
"Bahamas, The",25.03428,-77.39628,349655,364136,377025,387949,396840,403808,408923,412263,414047
Bahrain,25.930414,50.637772,1504665,1579544,1638583,1700439,1758250,1805489,1847256,1883505,1912262
Bangladesh,23.684994,90.356331,162532538,170183916,177171302,183161334,187970717,191663230,194343726,196009463,196569652
Barbados,13.193887,-59.543198,301001,304794,307119,307710,306371,303116,298257,292316,285866
Belarus,53.709807,27.953389,9468822,9321125,9154191,8987651,8825382,8653917,8461760,8251956,8032615
Belgium,50.503887,4.469936,11708235,12039272,12309925,12539867,12751772,12938620,13095652,13229707,13351912
Belize,17.189877,-88.49765,398890,432605,466151,499528,532186,563238,592243,619068,643738
Benin,9.30769,2.315834,12861152,15186090,17817552,20785031,24133443,27894671,32070919,36635781,41554035
Bermuda,32.321384,-64.75737,71818,73007,73763,74001,73694,72889,71717,70408,69184
Bhutan,27.514162,90.433601,848893,890440,928548,962535,992263,1017624,1038469,1053680,1061949
Bolivia,-16.290154,-63.588653,11595674,12406545,13189747,13934744,14635956,15287899,15887720,16425520,16891084
Bosnia and Herzegovina,43.915886,17.679076,3832751,3789077,3730292,3649137,3546651,3429208,3303663,3172527,3037135
Botswana,-22.328474,24.684866,2316910,2483419,2643329,2795948,2940674,3075706,3199855,3312083,3410656
Brazil,-14.235004,-51.92528,212041332,218770689,224738130,229620809,233091770,235167072,236030311,235870048,234771011
Brunei,4.535277,114.727669,464145,498766,532318,563881,593152,620628,646799,671618,694707
Bulgaria,42.733883,25.48583,6965462,6737997,6520697,6315986,6122867,5933661,5740967,5540751,5332226
Burkina Faso,12.238333,-1.561593,20833136,23593920,26350155,29082087,31773209,34402362,36938704,39382623,41722080
Burundi,-3.373056,29.918886,11845890,13976678,16038534,18294904,20687154,23149039,25611635,28123742,30750126
Cabo Verde,16.002082,-24.013197,582153,618014,651173,680565,705949,727635,745776,759984,769753
Cambodia,12.565679,104.990963,17070744,18197423,19211678,20139560,21011192,21825069,22553645,23168979,23663969
Cameroon,7.369722,12.354722,27743599,31812493,36268700,41067264,46191948,51623028,57310971,63229083,69324196
Canada,56.130366,-106.346771,37649603,39066049,40325886,41420185,42378217,43230196,44002894,44720424,45399512
Cayman Islands,19.513469,-80.566956,61952,67816,73499,78906,84010,88819,93381,97784,102123
Central African Republic,6.611111,20.939444,5262642,5750570,6257134,6771878,7290316,7808806,8322885,8828065,9315795
Chad,15.454166,18.732207,16875954,19674004,22766854,26161691,29791449,33570444,37418108,41376095,45487595
Chile,-35.675147,-71.542969,18182486,18775584,19263236,19631668,19890647,20055057,20126545,20108866,20016383
China,35.86166,104.195397,1394015977,1408112997,1408227408,1397564647,1380062271,1357795077,1329570095,1293630106,1250958667
Colombia,4.570868,-74.297333,49828664,52365753,54609191,56511387,58066250,59274375,60125294,60675714,60988395
Comoros,-11.875001,43.872219,852094,911707,969172,1026481,1081645,1130810,1172195,1206171,1233753
Congo [DRC],-0.228021,15.827659,101768560,119038825,138707855,160911174,185489254,212193547,240710111,271193858,303887875
Congo [Republic],-4.038333,21.758664,5292798,5947721,6673430,7472548,8336934,9250619,10192844,11158833,12153679
Cook Islands,-21.236736,-159.777671,8539,7592,6877,6328,5905,5593,5392,5241,5092
Costa Rica,9.748917,-83.753428,5096857,5357562,5587779,5785418,5951190,6085892,6188395,6259193,6300532
Côte d'Ivoire,7.539989,-5.54708,27470185,30622609,33888868,37217421,40544542,43795589,46939672,49997716,52970197
Croatia,45.1,15.2,4229585,4131508,4036866,3939174,3836284,3730291,3623602,3516963,3411254
Cuba,21.521757,-77.781167,11058573,10948294,10842995,10703968,10537139,10338941,10100436,9815275,9499574
Curaçao,12.19565294,-68.99635161,151370,153693,155167,155690,155404,154512,153245,151814,150313
Cyprus,35.126413,33.429859,1267376,1332293,1381021,1413331,1431463,1436653,1428212,1408383,1380462
Czechia,49.817492,15.472962,10698037,10701859,10660225,10602485,10558701,10520771,10470774,10395267,10288850
Denmark,56.26392,9.501785,5868927,5999028,6118770,6215716,6292361,6356609,6416507,6475919,6534099
Djibouti,11.825138,42.590275,919627,1013703,1104996,1189701,1265825,1332840,1391020,1441523,1484856
Dominica,15.414999,-61.370976,74522,74642,74169,73032,71328,69142,66443,63679,61488
Dominican Republic,18.735693,-70.162651,10498946,10977927,11415619,11799644,12124973,12394081,12608829,12767881,12868429
Ecuador,-1.831239,-78.183406,16894461,17861804,18755861,19561162,20263542,20858769,21348217,21737759,22027710
Egypt,26.820553,30.802498,104112503,115491730,126267002,136897648,147774447,158839657,169688822,179936124,189457564
El Salvador,13.794185,-88.89653,6480810,6647448,6696777,6693932,6648499,6578045,6492154,6387171,6252245
Equatorial Guinea,1.650801,10.267895,837428,936516,1037209,1137485,1235881,1331191,1422494,1510665,1595922
Eritrea,15.179384,39.782334,6088682,6416435,6836545,7353464,7909918,8436844,8921842,9372037,9794168
Estonia,58.595272,25.013607,1228296,1184655,1138017,1093594,1052590,1012359,970580,927138,883523
Eswatini,-26.522503,31.465866,1104638,1145871,1182302,1216135,1249423,1281325,1309186,1329943,1342234
Ethiopia,9.145,40.489673,108108470,122130956,136593170,151372229,166333560,181277414,195982344,210492059,224813883
Faroe Islands,61.892635,-6.911806,51624,53264,54784,55974,56866,57621,58360,59104,59793
Fiji,-16.578193,179.414413,935139,955284,971912,986402,999352,1010336,1018845,1023814,1024276
Finland,61.92411,25.748151,5572355,5636997,5668706,5671447,5659269,5640640,5620077,5600359,5581304
France,46.227638,2.213749,67858873,68945586,69922460,70717443,71222181,71426718,71416579,71280247,71060969
French Polynesia,-17.679742,-149.406843,294891,305507,314150,320833,325697,328816,330218,329897,327966
Gabon,-0.803689,11.609444,2230332,2513738,2817886,3132314,3449328,3765634,4081893,4401794,4724582
"Gambia, The",13.443182,-15.310139,2180783,2380272,2571762,2757220,2937180,3110122,3273409,3422865,3554956
Gaza Strip,31.354676,34.308825,1917031,2118587,2321163,2520726,2713073,2893632,3060115,3213636,3354289
Georgia,42.315407,43.356892,4930665,4936025,4923484,4904446,4883071,4856274,4815328,4757579,4688132
Germany,51.165691,10.451526,80069820,79214926,78280827,77266405,76174730,75009851,73785643,72531344,71336769
Ghana,7.946527,-1.023194,31643281,35336133,39138651,43079646,47163292,51317502,55437373,59448189,63316279
Gibraltar,36.137741,-5.345374,29459,29733,29878,29806,29565,29258,28946,28626,28229
Greece,39.074208,21.824312,10604841,10424536,10242709,10066836,9895646,9713202,9504172,9268234,9016470
Greenland,71.706936,-42.604303,57797,57713,57309,56560,55575,54494,53424,52403,51455
Grenada,12.262776,-61.604171,113165,114915,115917,116330,116418,116313,116072,115633,114879
Guam,13.444304,144.793731,168489,169691,169855,168908,166864,163733,159508,154717,150053
Guatemala,15.783471,-90.230759,17140193,18525963,19842090,21096354,22290211,23412438,24442800,25357316,26138559
Guernsey,49.465691,-2.585278,67173,67923,68482,68819,68946,68920,68777,68527,68190
Guinea,9.945587,-9.696645,12527271,14374590,16464555,18812686,21431015,24329616,27517931,30964593,34612833
Guinea-Bissau,11.803749,-15.180413,1927022,2187293,2484003,2817191,3186964,3593345,4036411,4510845,5008087
Guyana,4.860416,-58.93018,786653,796742,813805,830909,840800,843985,843728,841427,836501
Haiti,18.971187,-72.285215,11061439,11737686,12387574,12999321,13561784,14070475,14521985,14900973,15207985
Honduras,15.199999,-86.241905,9232097,9790452,10320557,10819671,11265038,11638031,11934762,12161701,12325291
Hong Kong,22.396428,114.109497,7248206,7305556,7315166,7271766,7178952,7049539,6890901,6705273,6500795
Hungary,47.162494,19.503304,9756400,9608199,9439076,9254346,9062397,8865907,8664334,8453313,8228207
Iceland,64.963051,-19.020835,350773,367086,380558,391869,401876,410488,417620,423391,428054
India,20.593684,78.96288,1325349639,1393557984,1456093286,1510935664,1556475013,1593580010,1623588384,1645908279,1660506849
Indonesia,-0.789275,113.921327,272856400,283587097,293084824,301603148,308923886,314615052,318393046,320309273,320660487
Iran,32.427908,53.688046,84982541,89145704,92447770,95163155,97539495,99549531,100972304,101610551,101418157
Iraq,33.223191,43.679291,38828885,42917742,47088189,51251890,55363280,59339806,63087363,66577491,69817126
Ireland,53.41291,-8.24389,5173463,5419212,5648610,5875210,6097670,6303876,6478153,6619197,6736100
Isle of Man,54.236107,-4.548056,90381,92666,94274,95321,95893,96026,95693,95002,94125
Israel,31.046051,34.851612,8659792,9302514,9962165,10637373,11309911,11954993,12563059,13140844,13695173
Italy,41.87194,12.56738,62335424,62608419,62882083,63150636,63386654,63525657,63505757,63299311,62946882
Jamaica,18.109581,-77.297508,2815048,2826742,2845660,2869074,2896357,2929345,2972457,3019597,3061362
Japan,36.204824,138.252924,125135727,122664433,119732022,116494761,113086546,109615226,106156887,102683541,99081689
Jersey,49.214439,-2.13125,100782,103944,106283,107852,108818,109506,110111,110628,110999
Jordan,30.585164,36.238414,10819966,11312507,12264310,13207868,14113122,14955988,15735443,16461809,17136875
Kazakhstan,48.019573,66.923684,19085226,19815814,20415211,20944420,21467369,21966766,22380770,22675178,22871143
Kenya,-0.023559,37.906193,53513653,59446843,65581608,71838265,78029635,83970900,89573347,94942551,100157642
Kiribati,-3.370417,-168.734039,111814,117702,123278,128289,132560,136164,139289,142036,144299
"Korea, North",40.339852,127.510093,25701731,26282295,26704049,26986455,27151565,27220540,27200057,27103587,26939552
"Korea, South",35.907757,127.766922,51577174,52189955,52578760,52598115,52189080,51396446,50217135,48686856,46946992
Kosovo,42.602636,20.902977,1922449,1989330,2056700,2116469,2166563,2204993,2230859,2244873,2248730
Kuwait,29.31166,47.481766,2995271,3172511,3336613,3492016,3638826,3774252,3896539,4007695,4110128
Kyrgyzstan,41.20438,74.766098,5963777,6219751,6437647,6635711,6819278,6978747,7097955,7173077,7210711
Laos,19.85627,102.495496,7463435,8010834,8517019,8978362,9404151,9790435,10135600,10436399,10686455
Latvia,56.879635,24.603189,1883186,1780740,1679841,1586003,1499908,1419172,1341195,1265659,1193651
